Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
131,"Saturday, Aug 25",MIA,H,ATL,W,3,1,,53-78,5,20.0,Chen,Sanchez,Steckenrider,2:54,N,7823,0,2,,2018
132,"Sunday, Aug 26",MIA,H,ATL,L,0,4,,53-79,5,21.0,Gausman,Lopez,,3:16,D,12770,0,-1,,2018
133,"Tuesday, Aug 28",MIA,A,BOS,L-wo,7,8,,53-80,5,22.0,Kimbrel,Steckenrider,,3:29,N,36708,0,-2,,2018
134,"Wednesday, Aug 29",MIA,A,BOS,L,6,14,,53-81,5,22.0,Thornburg,Conley,,3:10,N,36628,0,-3,,2018
135,"Friday, Aug 31",MIA,H,TOR,L,5,6,,53-82,5,21.5,Biagini,Steckenrider,Giles,3:11,N,8871,0,-4,,2018
136,"Saturday, Sep 1",MIA,H,TOR,W,6,3,,54-82,5,21.5,Chen,Estrada,,2:37,N,11174,0,1,,2018
137,"Sunday, Sep 2",MIA,H,TOR,L,1,6,,54-83,5,22.5,Reid-Foley,Brigham,,2:51,D,9617,0,-1,,2018
138,"Monday, Sep 3",MIA,H,PHI,W,3,1,,55-83,5,21.5,Urena,Velasquez,Steckenrider,2:24,D,7771,0,1,,2018
139,"Tuesday, Sep 4",MIA,H,PHI,L,4,9,,55-84,5,21.5,Arrieta,Richards,,3:14,N,7131,0,-1,,2018
140,"Wednesday, Sep 5",MIA,H,PHI,W,2,1,,56-84,5,20.5,Alcantara,Pivetta,Steckenrider,2:44,N,6427,0,1,,2018
141,"Friday, Sep 7",MIA,A,PIT,L,3,5,,56-85,5,21.0,Rodriguez,Guerrero,Vazquez,3:03,N,19515,0,-1,,2018
142,"Saturday, Sep 8",MIA,A,PIT,L,1,5,,56-86,5,22.0,Nova,Chen,,3:00,D,16110,0,-2,,2018
143,"Tuesday, Sep 11",MIA,A,NYM,W,5,3,,57-86,5,23.0,Urena,deGrom,,2:39,N,20849,0,1,,2018
144,"Wednesday, Sep 12",MIA,A,NYM,L,0,13,,57-87,5,24.0,Wheeler,Richards,,2:30,N,20423,0,-1,2018-09-10 (Rain),2018
145,"Thursday, Sep 13 (1)",MIA,A,NYM,L-wo,3,4,,57-88,5,25.0,Blevins,Barraclough,,2:33,D,NA,0,-2,,2018
146,"Thursday, Sep 13 (2)",MIA,A,NYM,L,2,5,,57-89,5,25.0,Vargas,Brigham,Gsellman,2:47,N,22640,0,-3,,2018
147,"Friday, Sep 14",MIA,A,PHI,L,2,14,,57-90,5,26.0,Eflin,Chen,,2:54,N,21671,0,-4,,2018
148,"Saturday, Sep 15",MIA,A,PHI,L,4,5,,57-91,5,26.0,Garcia,Rucinski,Neshek,2:48,N,24695,0,-5,,2018
149,"Sunday, Sep 16",MIA,A,PHI,W,6,4,,58-91,5,25.0,Urena,Pivetta,,3:04,D,30040,0,1,,2018
150,"Monday, Sep 17",MIA,H,WSN,W,8,5,,59-91,5,24.0,Garcia,Glover,Conley,3:17,N,8440,0,2,,2018
151,"Tuesday, Sep 18",MIA,H,WSN,L,2,4,,59-92,5,24.0,Strasburg,Alcantara,Doolittle,3:14,N,7726,0,-1,,2018
152,"Thursday, Sep 20",MIA,H,CIN,L,2,4,,59-93,5,25.5,Reed,Brigham,Iglesias,2:41,N,9863,0,-2,,2018
153,"Friday, Sep 21",MIA,H,CIN,W-wo,1,0,10,60-93,5,25.5,Barraclough,Hernandez,,2:36,N,11471,0,1,,2018
154,"Saturday, Sep 22",MIA,H,CIN,W,5,1,,61-93,5,25.5,Urena,DeSclafani,Steckenrider,2:22,N,12559,0,2,,2018
155,"Sunday, Sep 23",MIA,H,CIN,W,6,0,,62-93,5,25.5,Richards,Lorenzen,,2:30,D,13595,0,3,,2018
156,"Monday, Sep 24",MIA,A,WSN,L,3,7,,62-94,5,26.0,Miller,Alcantara,,3:09,N,22428,0,-1,,2018
157,"Tuesday, Sep 25",MIA,A,WSN,L,4,9,,62-95,5,27.0,Scherzer,Brigham,,3:12,N,26483,0,-2,,2018
158,"Wednesday, Sep 26",MIA,A,WSN,L,3,9,7,62-96,5,27.0,Suero,Chen,,2:45,D,28680,0,-3,,2018
159,"Friday, Sep 28",MIA,A,NYM,W,8,1,,63-96,5,26.5,Urena,Sewald,,3:07,N,27045,0,1,,2018
160,"Saturday, Sep 29",MIA,A,NYM,L-wo,0,1,13,63-97,5,26.5,Zamora,Garcia,,4:14,N,43928,0,-1,,2018
161,"Sunday, Sep 30",MIA,A,NYM,L,0,1,,63-98,5,26.5,Syndergaard,Alcantara,,2:10,D,28346,0,-2,,2018
1,"Thursday, Mar 28",MIA,H,COL,L,3,6,,0-1,3,1.0,Freeland,Urena,,2:55,D,25423,0.93,-1,,2019
2,"Friday, Mar 29",MIA,H,COL,L,1,6,,0-2,5,1.5,Marquez,Conley,,3:04,N,6503,0.9,-2,,2019
3,"Saturday, Mar 30",MIA,H,COL,W,7,3,,1-2,3,1.5,Lopez,Anderson,,3:00,N,7642,0.86,1,,2019
4,"Sunday, Mar 31",MIA,H,COL,W,3,0,,2-2,3,1.5,Alcantara,Gray,Romo,2:32,D,7559,0.9,2,,2019
5,"Monday, Apr 1",MIA,H,NYM,L,3,7,,2-3,3,2.0,Familia,Steckenrider,,3:10,N,6489,1.07,-1,,2019
6,"Tuesday, Apr 2",MIA,H,NYM,L,5,6,,2-4,3,3.0,Vargas,Urena,Wilson,3:23,N,5934,1.03,-2,,2019
7,"Wednesday, Apr 3",MIA,H,NYM,L,4,6,,2-5,5,3.5,deGrom,Richards,Díaz,3:07,N,7486,0.95,-3,,2019
8,"Friday, Apr 5",MIA,A,ATL,L,0,4,,2-6,5,4.0,Gausman,Lopez,,2:35,N,29218,0.83,-4,,2019
9,"Saturday, Apr 6",MIA,A,ATL,W,4,2,,3-6,5,3.5,Romo,Minter,Conley,3:16,N,35618,0.81,1,,2019
10,"Sunday, Apr 7",MIA,A,ATL,L-wo,3,4,,3-7,5,4.0,Vizcaino,Conley,,2:33,D,32551,0.84,-1,,2019
11,"Tuesday, Apr 9",MIA,A,CIN,L,0,14,,3-8,5,4.5,Castillo,Urena,,2:47,N,10058,0.71,-2,,2019
12,"Wednesday, Apr 10",MIA,A,CIN,L,1,2,,3-9,5,4.5,Garrett,Steckenrider,Iglesias,2:47,N,11375,0.68,-3,,2019
13,"Thursday, Apr 11",MIA,A,CIN,L,0,5,,3-10,5,5.5,Stephenson,Lopez,,2:51,D,11192,0.61,-4,,2019
14,"Friday, Apr 12",MIA,H,PHI,L,1,9,,3-11,5,6.5,Arrieta,Alcantara,,2:46,N,9322,0.63,-5,,2019
15,"Saturday, Apr 13",MIA,H,PHI,W,10,3,,4-11,5,5.5,Smith,Eflin,,3:01,N,13828,0.57,1,,2019
16,"Sunday, Apr 14",MIA,H,PHI,L,1,3,14,4-12,5,6.0,Arano,Chen,Alvarez,4:38,D,15238,0.63,-1,,2019
17,"Monday, Apr 15",MIA,H,CHC,L,2,7,,4-13,5,6.5,Darvish,Richards,,3:27,N,9888,0.5,-2,,2019
18,"Tuesday, Apr 16",MIA,H,CHC,L,0,4,,4-14,5,7.0,Quintana,Lopez,,2:49,N,8137,0.46,-3,,2019
19,"Wednesday, Apr 17",MIA,H,CHC,L,0,6,,4-15,5,8.0,Hamels,Alcantara,,2:25,N,10247,0.42,-4,,2019
20,"Friday, Apr 19",MIA,H,WSN,W,3,2,,5-15,5,6.5,Smith,Sanchez,Romo,2:52,N,8199,0.41,1,,2019
21,"Saturday, Apr 20",MIA,H,WSN,W,9,3,,6-15,5,6.5,Urena,Scherzer,,3:12,N,9910,0.49,2,,2019
22,"Sunday, Apr 21",MIA,H,WSN,L,0,5,,6-16,5,6.5,Strasburg,Richards,,2:45,D,7412,0.49,-1,,2019
23,"Tuesday, Apr 23",MIA,A,CLE,W,3,1,,7-16,5,6.0,Lopez,Ramirez,Romo,2:42,N,12963,0.41,1,,2019
24,"Wednesday, Apr 24",MIA,A,CLE,L,2,6,,7-17,5,6.0,Wittgren,Conley,,2:53,D,13046,0.44,-1,,2019
25,"Thursday, Apr 25",MIA,A,PHI,W,3,1,10,8-17,5,5.5,Guerrero,Neris,Romo,3:35,N,32060,0.5,1,,2019
26,"Friday, Apr 26",MIA,A,PHI,L,0,4,,8-18,5,6.0,Eickhoff,Urena,,2:47,N,31158,0.55,-1,,2019
27,"Saturday, Apr 27",MIA,A,PHI,L,9,12,,8-19,5,7.0,Arrieta,Richards,Neris,3:38,N,37868,0.54,-2,,2019
28,"Sunday, Apr 28",MIA,A,PHI,L,1,5,,8-20,5,8.0,Eflin,Lopez,,2:34,D,39168,0.49,-3,,2019
29,"Tuesday, Apr 30",MIA,H,CLE,L,4,7,,8-21,5,8.0,Bauer,Alcantara,Hand,2:56,N,7247,0.35,-4,,2019
30,"Wednesday, May 1",MIA,H,CLE,W,4,2,,9-21,5,8.0,Smith,Kluber,Romo,2:38,N,7262,0.3,1,,2019
31,"Friday, May 3",MIA,H,ATL,L,2,7,,9-22,5,9.0,Toussaint,Urena,,3:08,N,7198,0.4,-1,,2019
32,"Saturday, May 4",MIA,H,ATL,L,2,9,,9-23,5,9.0,Soroka,Anderson,,3:15,N,10229,0.34,-2,,2019
33,"Sunday, May 5",MIA,H,ATL,L,1,3,10,9-24,5,10.0,Tomlin,Guerrero,Jackson,3:29,D,11885,0.3,-3,,2019
34,"Monday, May 6",MIA,A,CHC,W,6,5,,10-24,5,9.0,Conley,Strop,Romo,3:26,N,34555,0.24,1,,2019
35,"Tuesday, May 7",MIA,A,CHC,L-wo,2,5,,10-25,5,10.0,Cishek,Conley,,3:10,N,35274,0.29,-1,,2019
36,"Wednesday, May 8",MIA,A,CHC,L-wo,2,3,11,10-26,5,11.0,Edwards,Quijada,,2:59,N,37241,0.24,-2,,2019
37,"Thursday, May 9",MIA,A,CHC,L,1,4,,10-27,5,11.5,Montgomery,Richards,,2:59,D,32301,0.22,-3,,2019
38,"Friday, May 10",MIA,A,NYM,L,2,11,,10-28,5,11.5,Wheeler,Lopez,,3:04,N,25194,0.22,-4,,2019
39,"Saturday, May 11",MIA,A,NYM,L,1,4,,10-29,5,12.5,deGrom,Alcantara,Díaz,2:41,N,32501,0.18,-5,,2019
40,"Tuesday, May 14",MIA,H,TBR,L,0,4,,10-30,5,13.5,Morton,Smith,,2:52,N,6306,0.1,-6,,2019
41,"Wednesday, May 15",MIA,H,TBR,L,0,1,,10-31,5,13.5,Beeks,Urena,Castillo,3:06,N,5947,0.08,-7,,2019
42,"Friday, May 17",MIA,H,NYM,W,8,6,,11-31,5,13.0,Richards,deGrom,Romo,3:01,N,9870,0.08,1,,2019
43,"Saturday, May 18",MIA,H,NYM,W,2,0,,12-31,5,13.0,Lopez,Matz,Conley,2:38,D,13474,0.11,2,,2019
44,"Sunday, May 19",MIA,H,NYM,W,3,0,,13-31,5,13.0,Alcantara,Syndergaard,,1:59,D,15983,0.11,3,,2019
45,"Tuesday, May 21",MIA,A,DET,W,5,4,11,14-31,5,12.5,Anderson,Jimenez,,3:29,N,15565,0.12,4,,2019
46,"Wednesday, May 22",MIA,A,DET,W,6,3,,15-31,5,11.5,Urena,Farmer,Romo,3:01,N,14506,0.14,5,,2019
47,"Thursday, May 23",MIA,A,DET,W,5,2,,16-31,5,11.5,Kinley,Greene,Romo,2:58,D,17214,0.16,6,,2019
48,"Friday, May 24",MIA,A,WSN,L,10,12,,16-32,5,12.5,Barraclough,Anderson,Doolittle,3:59,N,29173,0.17,-1,,2019
49,"Saturday, May 25",MIA,A,WSN,L,0,5,,16-33,5,13.5,Corbin,Alcantara,,2:25,D,33163,0.13,-2,,2019
50,"Sunday, May 26",MIA,A,WSN,L,6,9,,16-34,5,13.5,Fedde,Smith,,3:06,D,26365,0.11,-3,,2019
51,"Monday, May 27",MIA,A,WSN,W,3,2,,17-34,5,13.0,Urena,Barraclough,Romo,3:00,D,21048,0.1,1,,2019
