Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
58,"Friday, Jun 4",STL,H,CIN,L,4,6,,31-27,3,1.5,Castillo,Kim,Feliz,3:26,N,22756,1.42,-3,,2021
59,"Saturday, Jun 5",STL,H,CIN,L,2,5,,31-28,3,1.5,Mahle,Helsley,Sims,3:06,D,23365,1.35,-4,,2021
60,"Sunday, Jun 6",STL,H,CIN,L,7,8,,31-29,3,2.5,Hembree,Reyes,Sims,3:50,D,21152,1.33,-5,,2021
61,"Tuesday, Jun 8",STL,H,CLE,L,1,10,,31-30,3,3.5,Bieber,Martinez,,3:10,N,16178,1.09,-6,,2021
62,"Wednesday, Jun 9",STL,H,CLE,W,8,2,,32-30,3,3.0,Wainwright,Mejia,,2:59,N,16331,1.04,1,,2021
63,"Friday, Jun 11",STL,A,CHC,L,5,8,,32-31,3,4.0,Nance,Cabrera,Kimbrel,3:04,D,35112,1.33,-1,,2021
64,"Saturday, Jun 12",STL,A,CHC,L,2,7,,32-32,3,5.0,Hendricks,Gant,Kimbrel,3:19,N,39095,1.19,-2,,2021
65,"Sunday, Jun 13",STL,A,CHC,L,0,2,,32-33,4,6.0,Davies,Martinez,Kimbrel,2:34,N,35225,1.08,-3,,2021
66,"Monday, Jun 14",STL,H,MIA,W,4,2,,33-33,4,5.0,Gallegos,Floro,Reyes,3:02,N,24281,0.79,1,,2021
67,"Tuesday, Jun 15",STL,H,MIA,W-wo,2,1,,34-33,4,4.0,Reyes,Garcia,,2:54,N,24736,0.85,2,,2021
68,"Wednesday, Jun 16",STL,H,MIA,W-wo,1,0,,35-33,4,3.0,Helsley,Alcantara,,2:40,D,24682,0.93,3,,2021
69,"Thursday, Jun 17",STL,A,ATL,L,0,4,,35-34,4,4.0,Morton,Gant,,2:54,N,33412,1.01,-1,,2021
70,"Friday, Jun 18",STL,A,ATL,L,1,9,,35-35,4,4.0,Fried,Martinez,,2:51,N,40377,1,-2,,2021
71,"Sunday, Jun 20 (1)",STL,A,ATL,W,9,1,7,36-35,3,4.0,Wainwright,Wilson,,2:16,D,33781,0.98,1,,2021
72,"Sunday, Jun 20 (2)",STL,A,ATL,L,0,1,7,36-36,3,4.0,Smyly,Kim,Smith,1:58,N,36977,1.02,-1,,2021
73,"Tuesday, Jun 22",STL,A,DET,L,2,8,,36-37,4,4.5,Funkhouser,Oviedo,,3:13,N,13492,0.99,-2,,2021
74,"Wednesday, Jun 23",STL,A,DET,L,2,6,,36-38,4,5.5,Manning,Gant,,3:12,D,13263,0.84,-3,,2021
75,"Thursday, Jun 24",STL,H,PIT,L,2,8,,36-39,4,6.0,Kuhl,Martinez,,3:10,N,33254,0.73,-4,,2021
76,"Friday, Jun 25",STL,H,PIT,L,4,5,,36-40,4,7.0,Crowe,Woodford,Rodriguez,3:46,N,34812,0.64,-5,,2021
77,"Saturday, Jun 26",STL,H,PIT,W,3,1,,37-40,4,7.0,Wainwright,Brubaker,Reyes,2:56,D,33058,0.56,1,,2021
78,"Sunday, Jun 27",STL,H,PIT,L,2,7,,37-41,4,8.0,Kranick,Oviedo,,2:53,D,25163,0.61,-1,,2021
79,"Monday, Jun 28",STL,H,ARI,W,7,1,,38-41,4,8.0,Gallegos,Young,,3:33,N,27175,0.52,1,,2021
80,"Tuesday, Jun 29",STL,H,ARI,W,3,2,,39-41,4,8.0,Martinez,Smith,Reyes,3:11,N,28740,0.56,2,,2021
81,"Wednesday, Jun 30",STL,H,ARI,W,7,4,,40-41,3,8.0,Kim,Smith,Reyes,3:20,D,27235,0.62,3,,2021
82,"Thursday, Jul 1",STL,A,COL,L-wo,2,5,,40-42,4,9.0,Bard,Gallegos,,2:47,N,30410,0.69,-1,,2021
83,"Friday, Jul 2",STL,A,COL,W,9,3,10,41-42,4,9.0,Reyes,Almonte,,3:50,N,47224,0.59,1,,2021
84,"Saturday, Jul 3",STL,A,COL,L,2,3,,41-43,4,10.0,Chacin,Cabrera,Bard,3:23,N,48182,0.61,-1,,2021
85,"Sunday, Jul 4",STL,A,COL,L-wo,2,3,,41-44,4,10.0,Lawrence,Reyes,,3:16,D,36891,0.56,-2,,2021
86,"Monday, Jul 5",STL,A,SFG,W,5,3,,42-44,4,9.0,Kim,Gausman,,3:04,D,32644,0.51,1,,2021
87,"Tuesday, Jul 6",STL,A,SFG,W,6,5,,43-44,3,8.5,Wainwright,Cueto,Miller,3:28,N,18785,0.63,2,,2021
88,"Wednesday, Jul 7",STL,A,SFG,L,2,5,,43-45,4,9.0,Wood,Oviedo,McGee,3:07,N,19067,0.69,-1,,2021
89,"Friday, Jul 9",STL,A,CHC,L,5,10,,43-46,4,9.5,Hendricks,LeBlanc,,3:57,D,36192,0.62,-2,,2021
90,"Saturday, Jul 10",STL,A,CHC,W,6,0,,44-46,3,8.5,Kim,Davies,,3:32,N,39368,0.57,1,,2021
91,"Friday, Jul 16",STL,H,SFG,L,2,7,,44-47,4,9.0,Jackson,Wainwright,,3:22,N,33743,0.63,-1,,2021
92,"Saturday, Jul 17",STL,H,SFG,W,3,1,,45-47,4,9.0,Kim,DeSclafani,Reyes,2:36,N,40489,0.51,1,,2021
93,"Sunday, Jul 18",STL,H,SFG,W,2,1,,46-47,3,9.0,Cabrera,Brebbia,Reyes,3:02,D,29425,0.52,2,,2021
94,"Monday, Jul 19",STL,H,CHC,W,8,3,,47-47,3,8.5,Woodford,Mills,,3:00,N,38199,0.68,3,,2021
95,"Tuesday, Jul 20",STL,H,CHC,L,6,7,,47-48,3,8.5,Maples,Reyes,Kimbrel,3:43,N,35402,0.7,-1,,2021
96,"Wednesday, Jul 21",STL,H,CHC,W-wo,3,2,10,48-48,3,7.5,McFarland,Kimbrel,,4:09,N,37008,0.72,1,,2021
97,"Thursday, Jul 22",STL,H,CHC,W,3,2,,49-48,3,7.0,Kim,Alzolay,Reyes,2:49,N,41412,0.81,2,,2021
98,"Friday, Jul 23",STL,A,CIN,L,5,6,,49-49,3,8.0,Brach,Gallegos,Hembree,3:43,N,30605,0.95,-1,,2021
99,"Saturday, Jul 24",STL,A,CIN,L,3,5,,49-50,3,9.0,Castillo,Woodford,Hembree,2:55,N,33489,0.82,-2,,2021
100,"Sunday, Jul 25",STL,A,CIN,W,10,6,,50-50,3,8.0,Helsley,Gray,,4:04,D,21947,0.65,1,,2021
101,"Tuesday, Jul 27",STL,A,CLE,W,4,2,,51-50,3,8.0,Wainwright,Shaw,Reyes,2:51,N,19480,0.76,2,,2021
102,"Wednesday, Jul 28",STL,A,CLE,L,2,7,,51-51,3,9.0,Plesac,Kim,,3:08,D,19927,0.74,-1,,2021
103,"Friday, Jul 30",STL,H,MIN,W,5,1,,52-51,3,9.5,Helsley,Duffey,,2:45,N,34036,0.58,1,,2021
104,"Saturday, Jul 31",STL,H,MIN,L,1,8,,52-52,3,9.5,Alcala,Woodford,,2:58,N,33432,0.64,-1,,2021
105,"Sunday, Aug 1",STL,H,MIN,W,7,3,,53-52,3,9.5,Wainwright,Pineda,,3:01,D,28975,0.58,1,,2021
106,"Tuesday, Aug 3",STL,H,ATL,L,1,6,,53-53,3,10.0,Fried,Lester,,2:39,N,31509,0.55,-1,,2021
107,"Wednesday, Aug 4",STL,H,ATL,L,4,7,,53-54,3,11.0,Martin,Gallegos,Smith,3:28,N,32205,0.5,-2,,2021
108,"Thursday, Aug 5",STL,H,ATL,L,4,8,,53-55,3,11.5,Santana,Gallegos,,3:30,N,30549,0.41,-3,,2021
109,"Friday, Aug 6",STL,H,KCR,W,4,2,,54-55,3,11.5,Wainwright,Minor,Reyes,2:49,N,29090,0.29,1,,2021
110,"Saturday, Aug 7",STL,H,KCR,W,5,2,,55-55,3,10.5,Garcia,Keller,Gallegos,3:07,N,36615,0.33,2,,2021
111,"Sunday, Aug 8",STL,H,KCR,L,5,6,,55-56,3,10.5,Barlow,Reyes,Lovelady,3:43,D,31943,0.4,-1,,2021
112,"Tuesday, Aug 10",STL,A,PIT,W,4,1,,56-56,3,11.0,Happ,Brault,Reyes,2:51,N,10056,0.32,1,,2021
113,"Wednesday, Aug 11",STL,A,PIT,W,4,0,,57-56,3,11.0,Wainwright,Crowe,,2:52,N,8548,0.34,2,,2021
114,"Thursday, Aug 12",STL,A,PIT,W,7,6,,58-56,3,11.0,McFarland,Brubaker,Reyes,3:39,D,8676,0.36,3,,2021
115,"Friday, Aug 13",STL,A,KCR,W,6,0,,59-56,3,10.5,Flaherty,Minor,,3:08,N,30620,0.44,4,,2021
116,"Saturday, Aug 14",STL,A,KCR,W,9,4,,60-56,3,10.0,Lester,Keller,,3:25,N,35784,0.5,5,,2021
117,"Sunday, Aug 15",STL,A,KCR,W,7,2,,61-56,3,10.0,Happ,Bubic,,3:04,D,18317,0.65,6,,2021
118,"Tuesday, Aug 17",STL,H,MIL,L,0,2,,61-57,3,11.0,Burnes,Wainwright,Hader,3:15,N,28058,0.75,-1,,2021
119,"Wednesday, Aug 18",STL,H,MIL,L,4,6,10,61-58,3,12.0,Hader,Reyes,Williams,4:03,N,25938,0.62,-2,,2021
120,"Thursday, Aug 19",STL,H,MIL,W,8,4,,62-58,3,11.0,Fernandez,Woodruff,,3:21,N,27545,0.52,1,,2021
121,"Friday, Aug 20",STL,H,PIT,L,0,4,,62-59,3,11.0,Keller,Mikolas,,2:54,N,28406,0.57,-1,,2021
122,"Saturday, Aug 21",STL,H,PIT,L,4,5,,62-60,3,12.0,Shreve,Cabrera,Bednar,3:25,N,30205,0.48,-2,,2021
123,"Sunday, Aug 22",STL,H,PIT,W,3,0,,63-60,3,12.0,Wainwright,Brault,Reyes,2:55,D,34431,0.36,1,,2021
124,"Tuesday, Aug 24",STL,H,DET,L,3,4,,63-61,3,13.0,Mize,Flaherty,Fulmer,3:13,N,28185,0.37,-1,,2021
125,"Wednesday, Aug 25",STL,H,DET,W-wo,3,2,10,64-61,3,13.0,McFarland,Fulmer,,3:20,D,24304,0.37,1,,2021
126,"Thursday, Aug 26",STL,A,PIT,L,7,11,,64-62,3,13.0,Kuhl,Cabrera,,3:07,N,8618,0.49,-1,,2021
127,"Friday, Aug 27",STL,A,PIT,W,4,3,,65-62,3,12.0,Happ,Peters,Reyes,3:18,N,12662,0.41,1,,2021
128,"Saturday, Aug 28",STL,A,PIT,W,13,0,,66-62,3,11.0,Wainwright,Brault,,3:45,N,20043,0.43,2,,2021
129,"Sunday, Aug 29",STL,A,PIT,L-wo,3,4,,66-63,3,12.0,Stratton,Reyes,,3:00,D,10290,0.56,-1,,2021
130,"Monday, Aug 30",STL,A,CIN,W,3,1,,67-63,3,12.0,Lester,Castillo,Gallegos,2:47,N,10773,0.8,1,,2021
131,"Wednesday, Sep 1 (1)",STL,A,CIN,W,5,4,7,68-63,3,13.0,Cabrera,Miley,Gallegos,2:20,D,10365,0.83,2,,2021
132,"Wednesday, Sep 1 (2)",STL,A,CIN,L,2,12,7,68-64,3,13.0,Gray,Happ,,2:48,N,10892,0.98,-1,,2021
133,"Friday, Sep 3",STL,A,MIL,W,15,4,,69-64,3,11.5,Wainwright,Peralta,,3:24,N,23987,0.65,1,,2021
134,"Saturday, Sep 4",STL,A,MIL,L,0,4,,69-65,3,12.5,Houser,Kim,,2:26,N,33439,0.83,-1,,2021
135,"Sunday, Sep 5",STL,A,MIL,L-wo,5,6,,69-66,3,13.5,Sanchez,Reyes,,4:08,D,33845,0.69,-2,,2021
136,"Monday, Sep 6",STL,H,LAD,L,1,5,,69-67,3,13.5,Scherzer,Mikolas,,2:37,D,43575,0.53,-3,,2021
137,"Tuesday, Sep 7",STL,H,LAD,L,2,7,,69-68,3,14.5,Vesia,Happ,,3:06,N,34500,0.48,-4,,2021
138,"Wednesday, Sep 8",STL,H,LAD,W,5,4,,70-68,3,14.5,Wainwright,White,Gallegos,2:35,N,35566,0.4,1,,2021
139,"Thursday, Sep 9",STL,H,LAD,W,2,1,,71-68,3,14.0,Reyes,Bickford,Gallegos,2:56,D,31173,0.52,2,,2021
140,"Friday, Sep 10",STL,H,CIN,L,2,4,,71-69,3,15.0,Lorenzen,McFarland,Givens,2:43,N,29597,0.84,-1,,2021
141,"Saturday, Sep 11",STL,H,CIN,W,6,4,,72-69,3,15.0,Reyes,Sims,Gallegos,2:44,N,33404,0.69,1,,2021
142,"Sunday, Sep 12",STL,H,CIN,W,2,0,,73-69,3,15.0,Happ,Gray,Gallegos,2:35,D,32872,0.98,2,,2021
143,"Monday, Sep 13",STL,A,NYM,W,7,0,,74-69,3,14.5,Wainwright,Hill,,3:41,N,19057,0.96,3,,2021
144,"Tuesday, Sep 14",STL,A,NYM,W,7,6,11,75-69,2,13.5,Reyes,Reed,Kim,4:34,N,21825,1.16,4,,2021
145,"Wednesday, Sep 15",STL,A,NYM,W,11,4,,76-69,2,12.5,Lester,Megill,,3:34,N,21001,1.35,5,,2021
146,"Friday, Sep 17",STL,H,SDP,W,8,2,,77-69,2,12.5,Mikolas,Velasquez,,3:13,N,30937,1.97,6,,2021
147,"Saturday, Sep 18",STL,H,SDP,W,3,2,,78-69,2,12.5,Miller,Pagan,Gallegos,2:59,N,40626,1.93,7,,2021
148,"Sunday, Sep 19",STL,H,SDP,W,8,7,,79-69,2,11.5,Reyes,Arrieta,Gallegos,3:16,D,35326,1.89,8,,2021
149,"Monday, Sep 20",STL,A,MIL,W,5,2,,80-69,2,10.5,Lester,Peralta,Garcia,2:43,N,28291,1.12,9,,2021
150,"Tuesday, Sep 21",STL,A,MIL,W,2,1,,81-69,2,9.5,Woodford,Woodruff,Gallegos,3:24,N,30475,0.97,10,,2021
151,"Wednesday, Sep 22",STL,A,MIL,W,10,2,,82-69,2,8.5,Mikolas,Anderson,,2:57,N,29635,0.57,11,,2021
152,"Thursday, Sep 23",STL,A,MIL,W,8,5,,83-69,2,7.5,McFarland,Ashby,Gallegos,3:31,D,30804,0.35,12,,2021
153,"Friday, Sep 24 (1)",STL,A,CHC,W,8,5,7,84-69,2,7.0,Reyes,Steele,Gallegos,2:39,D,29030,0.18,13,,2021
154,"Friday, Sep 24 (2)",STL,A,CHC,W,12,4,7,85-69,2,7.0,Hudson,Davies,,2:41,N,35020,0.11,14,,2021
155,"Saturday, Sep 25",STL,A,CHC,W,8,5,,86-69,2,7.0,Kim,Heuer,,3:18,D,32918,0.07,15,,2021
156,"Sunday, Sep 26",STL,A,CHC,W,4,2,,87-69,2,7.0,Cabrera,Heuer,Gallegos,3:36,D,26547,0.05,16,,2021
157,"Tuesday, Sep 28",STL,H,MIL,W,6,2,,88-69,2,6.0,Wainwright,Gustave,,2:54,N,35726,0.03,17,,2021
158,"Wednesday, Sep 29",STL,H,MIL,L,0,4,,88-70,2,7.0,Houser,Mikolas,,2:48,N,35283,0.03,-1,,2021
159,"Thursday, Sep 30",STL,H,MIL,W,4,3,,89-70,2,6.0,Happ,Sanchez,Garcia,2:41,D,29161,0.02,1,,2021
160,"Friday, Oct 1",STL,H,CHC,W-wo,4,3,,90-70,2,5.0,Gallegos,Nance,,3:25,N,41618,0.03,2,,2021
161,"Saturday, Oct 2",STL,H,CHC,L,5,6,,90-71,2,5.0,Adam,Garcia,Wick,3:25,N,45239,0.05,-1,,2021
162,"Sunday, Oct 3",STL,H,CHC,L,2,3,7,90-72,2,5.0,Biagini,Woodford,,2:11,D,46525,0.03,-2,,2021
1,"Friday, Apr 6",LAA,H,KCR,W,5,0,,1-0,1,Tied,Weaver,Crow,,2:22,N,44106,1.01,1,,2012
2,"Saturday, Apr 7",LAA,H,KCR,L,3,6,,1-1,2,1.0,Hochevar,Haren,,2:46,D,40022,1.04,-1,,2012
3,"Sunday, Apr 8",LAA,H,KCR,L,3,7,,1-2,3,1.5,Sanchez,Santana,Broxton,3:15,D,32227,1,-2,,2012
4,"Monday, Apr 9",LAA,A,MIN,W,5,1,,2-2,3,1.0,Wilson,Blackburn,,2:50,D,39414,0.97,1,,2012
5,"Wednesday, Apr 11",LAA,A,MIN,L,5,6,,2-3,3,1.5,Gray,Takahashi,Capps,2:47,N,31413,1.04,-1,,2012
6,"Thursday, Apr 12",LAA,A,MIN,L,9,10,,2-4,4,2.5,Gray,Thompson,Capps,3:44,D,31782,0.94,-2,,2012
7,"Friday, Apr 13",LAA,A,NYY,L,0,5,,2-5,4,3.5,Kuroda,Santana,,2:33,D,49386,0.89,-3,,2012
8,"Saturday, Apr 14",LAA,A,NYY,W,7,1,,3-5,4,3.5,Wilson,Hughes,,3:07,D,46829,0.9,1,,2012
9,"Sunday, Apr 15",LAA,A,NYY,L,5,11,,3-6,4,4.5,Nova,Williams,,3:32,N,41055,0.9,-1,,2012
10,"Monday, Apr 16",LAA,H,OAK,W,6,0,,4-6,3,4.0,Weaver,McCarthy,,2:48,N,27338,0.98,1,,2012
11,"Tuesday, Apr 17",LAA,H,OAK,L,3,5,,4-7,4,5.0,Fuentes,Jepsen,Balfour,2:46,N,41016,1.06,-1,,2012
12,"Wednesday, Apr 18",LAA,H,OAK,L,0,6,,4-8,4,6.0,Colon,Santana,,2:44,N,27217,0.97,-2,,2012
13,"Thursday, Apr 19",LAA,H,OAK,L,2,4,,4-9,4,7.0,Milone,Wilson,Balfour,3:11,N,27864,0.85,-3,,2012
14,"Friday, Apr 20",LAA,H,BAL,W,6,3,,5-9,4,6.5,Williams,Matusz,Walden,2:49,N,32272,0.71,1,,2012
15,"Saturday, Apr 21",LAA,H,BAL,W,6,3,,6-9,4,6.0,Weaver,Arrieta,,2:24,N,38054,0.76,2,,2012
16,"Sunday, Apr 22",LAA,H,BAL,L,2,3,10,6-10,4,7.0,Strop,Hawkins,Johnson,3:11,D,38221,0.84,-1,,2012
17,"Tuesday, Apr 24",LAA,A,TBR,L,0,5,,6-11,4,7.5,Price,Santana,,2:25,N,14933,0.83,-2,,2012
18,"Wednesday, Apr 25",LAA,A,TBR,L,2,3,,6-12,4,8.5,Hellickson,Wilson,Rodney,3:10,N,14638,0.73,-3,,2012
19,"Thursday, Apr 26",LAA,A,TBR,L-wo,3,4,,6-13,4,9.0,Gomes,Walden,,2:48,D,15417,0.66,-4,,2012
20,"Friday, Apr 27",LAA,A,CLE,L-wo,2,3,,6-14,4,9.0,Pestano,Carpenter,,2:54,N,12597,0.57,-5,,2012
21,"Saturday, Apr 28",LAA,A,CLE,W,2,1,,7-14,4,9.0,Haren,Gomez,Downs,2:32,D,11316,0.57,1,,2012
22,"Sunday, Apr 29",LAA,A,CLE,L,0,4,,7-15,4,9.0,Lowe,Santana,,2:22,D,15421,0.62,-1,,2012
23,"Monday, Apr 30",LAA,H,MIN,W,4,3,,8-15,4,9.0,Wilson,Blackburn,Downs,2:27,N,27027,0.58,1,,2012
24,"Tuesday, May 1",LAA,H,MIN,W,4,0,,9-15,4,8.0,Williams,Liriano,,2:10,N,30039,0.64,2,,2012
25,"Wednesday, May 2",LAA,H,MIN,W,9,0,,10-15,4,7.0,Weaver,Hendriks,,2:28,N,27288,0.66,3,,2012
26,"Thursday, May 3",LAA,H,TOR,L,0,5,,10-16,4,7.5,Morrow,Haren,,2:11,N,28359,0.7,-1,,2012
27,"Friday, May 4",LAA,H,TOR,L,0,4,,10-17,4,7.5,Alvarez,Santana,,2:10,N,33160,0.69,-2,,2012
28,"Saturday, May 5",LAA,H,TOR,W,6,2,,11-17,4,7.5,Wilson,Drabek,,2:54,N,39018,0.65,1,,2012
29,"Sunday, May 6",LAA,H,TOR,W,4,3,,12-17,4,6.5,Williams,Hutchison,Hawkins,2:51,D,37548,0.67,2,,2012
30,"Monday, May 7",LAA,A,MIN,W,8,3,,13-17,4,6.5,Weaver,Liriano,,3:01,N,31382,0.7,3,,2012
31,"Tuesday, May 8",LAA,A,MIN,L,0,5,,13-18,4,7.5,Diamond,Haren,,2:37,N,30776,0.8,-1,,2012
32,"Wednesday, May 9",LAA,A,MIN,W,6,2,,14-18,4,7.0,Santana,Pavano,,2:42,N,31915,0.67,1,,2012
33,"Friday, May 11",LAA,A,TEX,L,3,10,,14-19,4,8.0,Darvish,Wilson,,3:02,N,48201,0.96,-1,,2012
34,"Saturday, May 12",LAA,A,TEX,W,4,2,,15-19,3,7.0,Carpenter,Harrison,Downs,2:54,D,47699,0.9,1,,2012
35,"Sunday, May 13",LAA,A,TEX,L,6,13,,15-20,4,8.0,Feliz,Weaver,,3:27,N,46669,0.96,-1,,2012
36,"Monday, May 14",LAA,H,OAK,L,0,5,,15-21,4,8.0,Ross,Haren,,2:56,N,32851,0.78,-2,,2012
37,"Tuesday, May 15",LAA,H,OAK,W,4,0,,16-21,3,7.0,Santana,Colon,,2:26,D,31762,0.71,1,,2012
38,"Wednesday, May 16",LAA,H,CHW,W,7,2,,17-21,3,7.0,Williams,Floyd,,2:25,N,39027,0.73,2,,2012
39,"Thursday, May 17",LAA,H,CHW,L,1,6,,17-22,3,7.0,Sale,Wilson,,3:10,D,30786,0.73,-1,,2012
40,"Friday, May 18",LAA,A,SDP,W,7,2,,18-22,3,7.0,Weaver,Suppan,,3:05,N,31389,0.73,1,,2012
41,"Saturday, May 19",LAA,A,SDP,L,2,3,,18-23,3,7.0,Gregerson,Haren,Thayer,2:47,N,43427,0.76,-1,,2012
42,"Sunday, May 20",LAA,A,SDP,L-wo,2,3,13,18-24,4,8.0,Mikolas,Pauley,,4:23,D,33975,0.72,-2,,2012
43,"Monday, May 21",LAA,A,OAK,L,1,2,,18-25,4,8.0,Milone,Williams,Fuentes,2:46,N,11292,0.75,-3,,2012
44,"Tuesday, May 22",LAA,A,OAK,W,5,0,,19-25,4,8.0,Wilson,Godfrey,,2:45,N,12894,0.73,1,,2012
45,"Wednesday, May 23",LAA,A,OAK,W,3,1,11,20-25,4,7.0,Walden,Norberto,Frieri,3:11,D,23617,0.8,2,,2012
46,"Thursday, May 24",LAA,A,SEA,W,3,0,,21-25,3,6.5,Haren,Vargas,,2:19,N,18048,0.82,3,,2012
47,"Friday, May 25",LAA,A,SEA,W,6,4,,22-25,3,6.5,Isringhausen,League,Downs,2:52,N,23517,0.9,4,,2012
48,"Saturday, May 26",LAA,A,SEA,W,5,3,,23-25,2,6.5,Williams,Hernandez,Frieri,3:07,D,29483,0.97,5,,2012
49,"Sunday, May 27",LAA,A,SEA,W,4,2,,24-25,2,6.5,Wilson,Noesi,Downs,2:30,D,24467,0.99,6,,2012
50,"Monday, May 28",LAA,H,NYY,W-wo,9,8,,25-25,2,6.5,Walden,Wade,,3:38,N,44016,0.98,7,,2012
51,"Tuesday, May 29",LAA,H,NYY,W,5,1,,26-25,2,5.5,Haren,Pettitte,,2:37,N,42065,1.05,8,,2012
52,"Wednesday, May 30",LAA,H,NYY,L,5,6,,26-26,2,5.5,Nova,Takahashi,Soriano,3:06,N,40111,1.11,-1,,2012
53,"Friday, Jun 1",LAA,H,TEX,W,4,2,,27-26,2,4.5,Williams,Lewis,Frieri,2:31,N,40080,1.48,1,,2012
54,"Saturday, Jun 2",LAA,H,TEX,W,3,2,,28-26,2,3.5,Cassevah,Darvish,Frieri,3:34,N,44227,1.62,2,,2012
55,"Sunday, Jun 3",LAA,H,TEX,L,3,7,,28-27,2,4.5,Harrison,Haren,,3:09,D,42465,1.68,-1,,2012
56,"Monday, Jun 4",LAA,H,SEA,L,6,8,,28-28,2,4.5,Vargas,Santana,Wilhelmsen,3:14,N,36079,1.24,-2,,2012
57,"Tuesday, Jun 5",LAA,H,SEA,W,6,1,,29-28,2,4.5,Richards,Beavan,,2:29,N,35021,1.25,1,,2012
58,"Wednesday, Jun 6",LAA,H,SEA,L,6,8,,29-29,2,4.5,Kelley,Williams,Wilhelmsen,3:14,N,37342,1.26,-1,,2012
59,"Friday, Jun 8",LAA,A,COL,W,7,2,,30-29,2,4.0,Wilson,White,,2:48,N,41814,1.08,1,,2012
60,"Saturday, Jun 9",LAA,A,COL,W,11,5,,31-29,2,3.0,Haren,Francis,,3:21,D,37801,1.13,2,,2012
61,"Sunday, Jun 10",LAA,A,COL,W,10,8,,32-29,2,3.0,Santana,Friedrich,Downs,3:33,D,37722,1.22,3,,2012
62,"Monday, Jun 11",LAA,A,LAD,W,3,2,,33-29,2,2.5,Isringhausen,Jansen,Frieri,3:59,N,50559,1.24,4,,2012
63,"Tuesday, Jun 12",LAA,A,LAD,L,2,5,,33-30,2,3.5,Wright,Williams,Jansen,2:49,N,55279,1.26,-1,,2012
64,"Wednesday, Jun 13",LAA,A,LAD,W,2,1,,34-30,2,3.5,Hawkins,Jansen,Frieri,3:09,N,43494,1.18,1,,2012
65,"Friday, Jun 15",LAA,H,ARI,L,0,5,,34-31,2,4.0,Cahill,Haren,,2:34,N,37096,1.21,-1,,2012
66,"Saturday, Jun 16",LAA,H,ARI,W,2,0,,35-31,2,4.0,Santana,Saunders,,2:28,N,42483,1.25,1,,2012
67,"Sunday, Jun 17",LAA,H,ARI,W,2,0,,36-31,2,4.0,Richards,Kennedy,Frieri,2:27,D,42222,1.25,2,,2012
68,"Monday, Jun 18",LAA,H,SFG,L,3,5,,36-32,2,5.0,Cain,Williams,Casilla,3:21,N,41234,1.24,-1,,2012
69,"Tuesday, Jun 19",LAA,H,SFG,W,12,5,,37-32,2,5.0,Wilson,Zito,,3:21,N,38010,1.17,1,,2012
70,"Wednesday, Jun 20",LAA,H,SFG,W,6,0,,38-32,2,5.0,Weaver,Vogelsong,,2:39,N,40321,1.15,2,,2012
71,"Friday, Jun 22",LAA,H,LAD,W,8,5,,39-32,2,5.0,Haren,Billingsley,Frieri,3:20,N,44548,1.26,3,,2012
72,"Saturday, Jun 23",LAA,H,LAD,L,1,3,,39-33,2,5.0,Capuano,Santana,Jansen,2:43,D,44512,1.25,-1,,2012
73,"Sunday, Jun 24",LAA,H,LAD,W,5,3,,40-33,2,5.0,Downs,Lindblom,Frieri,3:39,D,43975,1.21,1,,2012
74,"Tuesday, Jun 26",LAA,A,BAL,W,7,3,,41-33,2,4.5,Wilson,Matusz,,2:53,N,24296,1.41,2,,2012
75,"Wednesday, Jun 27",LAA,A,BAL,W,13,1,,42-33,2,4.5,Weaver,Hammel,,2:49,N,18055,1.41,3,,2012
76,"Thursday, Jun 28",LAA,A,TOR,W,9,7,,43-33,2,4.5,Haren,Cecil,Frieri,3:16,N,24668,1.38,4,,2012
77,"Friday, Jun 29",LAA,A,TOR,L,5,7,,43-34,2,5.5,Cordero,Walden,Janssen,3:12,N,24538,1.37,-1,,2012
78,"Saturday, Jun 30",LAA,A,TOR,L,2,11,,43-35,2,6.5,Alvarez,Richards,,2:44,D,29287,1.37,-2,,2012
79,"Sunday, Jul 1",LAA,A,TOR,W,10,6,,44-35,2,5.5,Isringhausen,Cordero,,3:29,D,34853,1.4,1,,2012
80,"Monday, Jul 2",LAA,A,CLE,W,3,0,,45-35,2,5.0,Weaver,Jimenez,Downs,2:34,N,21616,1.37,2,,2012
81,"Tuesday, Jul 3",LAA,A,CLE,L,5,9,,45-36,2,5.0,McAllister,Haren,,2:37,N,29292,1.36,-1,,2012
82,"Wednesday, Jul 4",LAA,A,CLE,L,3,12,,45-37,2,5.0,Lowe,Santana,,2:55,D,20979,1.41,-2,,2012
83,"Thursday, Jul 5",LAA,H,BAL,W,9,7,,46-37,2,4.0,Hawkins,Ayala,Frieri,3:21,N,38104,1.45,1,,2012
84,"Friday, Jul 6",LAA,H,BAL,L,2,3,,46-38,2,4.0,Gonzalez,Wilson,Johnson,2:47,N,42716,1.49,-1,,2012
85,"Saturday, Jul 7",LAA,H,BAL,W,3,0,,47-38,2,4.0,Weaver,Hammel,Downs,2:20,N,41147,1.48,1,,2012
86,"Sunday, Jul 8",LAA,H,BAL,W,6,0,,48-38,2,4.0,Mills,Chen,,2:32,D,37108,1.51,2,,2012
